Month,Q0,Q1,Q2pt5,Q5,Q10,Q25,Q50,Q75,Q90,Q95,Q97pt5,Q99,Q100,STNAME,CTYNAME,POPESTIMATE2015
JUL,-0.039999999,0.01,0.02,0.029999999,0.039999999,0.059999999,0.079999998,0.100000001,0.129999995,0.159999996,0.219999999,0.488000005,32.06000137,Texas,Stonewall,1399
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,North Dakota,Ward,71430
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,West Virginia,Wood,86304
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Pennsylvania,Butler,185891
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Ohio,Sandusky,59454
JUL,1.25999999,2.680000067,3.549999952,4.940000057,6.679999828,13.51250029,24.46999931,37.44500065,54.31000137,64.98749924,77.23999786,91.22000122,124.4700012,Virginia,Richmond city,220943
JUL,0,0,0,0,0,0,0.109999999,0.25,0.430000007,0.639999986,1.069999993,1.99000001,11.76000023,Kentucky,Morgan,13262
JUL,-0.039999999,0.02,0.039999999,0.059999999,0.090000004,0.170000002,0.370000005,0.569999993,0.856000018,1.450000048,2.786249965,5.246699891,17.03000069,Tennessee,Trousdale,8040
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,New York,St. Lawrence,110803
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,Cheyenne,10138
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Michigan,Berrien,154802
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,Dundy,1774
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,South Dakota,Lake,12340
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Missouri,Monroe,8633
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Wisconsin,Jackson,20520
JUL,0.02,0.07,0.090000004,0.100000001,0.119999997,0.159999996,0.219999999,0.340000004,0.699999988,1.470000029,3.506249994,8.199999571,32,Georgia,Pulaski,11397
JUL,-0.07,0,0.02,0.07,0.129999995,0.219999999,0.340000004,0.550000012,0.99000001,1.826000047,3.823999929,7.005200005,83.88999939,Illinois,Pulaski,5656
JUL,-0.02,0.079999998,0.100000001,0.119999997,0.140000001,0.180000007,0.25,0.400000006,0.839999974,1.600000024,2.965500033,7.307299967,50.74000168,Arkansas,Cross,17240
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Illinois,Putnam,5727
JUL,0,0.059999999,0.090000004,0.119999997,0.150000006,0.209999993,0.319999993,0.49000001,0.829999983,1.309999943,2.480000019,4.997400002,36.90000153,Missouri,McDonald,22699
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Michigan,Iosco,25325
JUL,0.029999999,0.07,0.090000004,0.100000001,0.119999997,0.159999996,0.239999995,0.439999998,1.139999986,2.839999914,6.908000088,14.86879974,418.1300049,Mississippi,Tunica,10260
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Indiana,Madison,129390
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Vermont,Bennington,36088
JUL,-0.109999999,-0.059999999,-0.039999999,-0.02,0,0.02,0.100000001,0.170000002,0.300000012,0.430000007,0.670000017,1.481000018,11.85999966,Missouri,Carter,6276
JUL,-0.109999999,-0.039999999,-0.029999999,-0.01,0.01,0.039999999,0.059999999,0.090000004,0.129999995,0.170000002,0.230000004,0.39219999,15.03999996,Texas,Foard,1228
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Michigan,Mason,28721
JUL,0.01,0.059999999,0.07,0.079999998,0.090000004,0.109999999,0.140000001,0.170000002,0.219999999,0.289999992,0.379999995,0.610000014,10.96000004,Mississippi,Issaquena,1346
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,Ferry,7521
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,District of Columbia,District of Columbia,672736
JUL,0.029999999,0.090000004,0.100000001,0.109999999,0.129999995,0.159999996,0.230000004,0.349999994,0.589999974,0.931500006,1.481500018,3.079999924,18.22999954,Louisiana,West Carroll Parish,11282
JUL,0.02,0.109999999,0.129999995,0.150000006,0.180000007,0.239999995,0.370000005,0.639999986,1.25,2.543999958,5.363500047,11.74700018,47.40000153,South Carolina,Chester,32390
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Wisconsin,Columbia,56646
JUL,0.050000001,0.159999996,0.209999993,0.239999995,0.310000002,0.50999999,1.110000014,2.680000067,8.039999962,15.35500002,24.77499962,37.34700089,118.2300034,South Carolina,York,250640
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,California,Del Norte,27253
JUL,-0.059999999,0,0,0,0,0.109999999,0.170000002,0.340000004,0.839999974,2.059999943,4.949999809,12.47000027,150.4600067,Kansas,Montgomery,33384
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Pennsylvania,Delaware,563705
JUL,0,0.050000001,0.07,0.079999998,0.100000001,0.129999995,0.189999998,0.289999992,0.479999989,0.867000008,1.483500016,3.177800069,24.78000069,Florida,Gilchrist,17164
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Montana,Cascade,81829
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Montana,Garfield,1284
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Washington,Lewis,75419
JUL,-0.140000001,0,0.039999999,0.090000004,0.140000001,0.25,0.409999996,0.730000019,1.409999967,2.351499903,3.809999943,7.06029995,25.60000038,Missouri,Stone,31315
JUL,-0.07,0,0,0,0.01,0.050000001,0.109999999,0.189999998,0.349999994,0.540000021,0.875749999,1.669999957,32.90000153,Virginia,Grayson,15953
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Kansas,Sherman,5960
JUL,-0.029999999,0.02,0.039999999,0.050000001,0.07,0.109999999,0.200000003,0.639999986,3.057999945,12.64999962,23.49799995,37.08179855,154.4499969,Texas,Taylor,135915
JUL,0.119999997,0.25,0.270000011,0.289999992,0.319999993,0.409999996,0.610000014,1.070000052,2.587999916,6.787999964,13.14999962,21.41920048,48.02999878,Georgia,Gordon,56387
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Virginia,Manassas Park city,16026
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Alaska,Matanuska-Susitna Borough,101064
JUL,0.029999999,0.090000004,0.109999999,0.129999995,0.159999996,0.209999993,0.519999981,4.039999962,11.60300016,21.5965003,33.55324993,47.07370182,95.06999969,Florida,St. Lucie,297929
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa,Carroll,20420
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Nebraska,Cherry,5817
JUL,0.100000001,0.150000006,0.170000002,0.189999998,0.209999993,0.25999999,0.379999995,0.660000026,1.254999995,1.929999948,3.117499888,6.160500002,29.05999947,Georgia,Harris,33165
JUL,0.449999988,0.589999974,0.649999976,0.722500026,0.930000007,1.450000048,3.25,7.287500024,14.95499992,22.67250061,32.91250038,47.14749908,92.20999908,Georgia,Douglas,140466
JUL,0,0.154600002,0.209999993,0.239999995,0.319999993,0.479999989,0.660000026,0.860000014,1.330000043,2.191000056,4.328499961,8.127799988,22.55999947,North Carolina,Yadkin,37659
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Kansas,Trego,2906
JUL,-0.109999999,-0.039999999,-0.029999999,-0.01,0.009,0.039999999,0.07,0.090000004,0.119999997,0.150000006,0.189999998,0.305100007,15.32999992,Texas,Cottle,1438
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Iowa,Clayton,17715
JUL,0.01,0.039999999,0.059999999,0.07,0.090000004,0.119999997,0.189999998,0.409999996,1.159999967,3.328999925,9.200499916,23.17900028,62.88999939,Mississippi,Adams,31400
JUL,0.090000004,0.180000007,0.209999993,0.25999999,0.330000013,0.50999999,0.970000029,2.1450001,6.288000011,12.58800011,23.37799921,36.92900108,173.5899963,Alabama,Lee,156740
JUL,0,0,0,0,0,0,0,0,0,0,0,0,0,Indiana,Tipton,15235
